id,name,family,muscle_primary,muscle_secondary,compound,equipment,unilateral,level_min,load_mode,rm_reference,rm_factor,seconds_per_rep,setup_s,objectives,rep_ranges,weight_box,weight_gym,weight_bodyweight,priority,movement_group,notes
bench_press,Bench Press,barbell,pecs,triceps|epaules_ant,true,barbell|bench|rack,false,debutant,1rm,bench,1.0,3,45,hypertrophie|force|endurance,"{""hypertrophie"": [8, 12], ""force"": [3, 5], ""endurance"": [15, 20]}",8,8,0,1,press_h,
incline_bench_press,Incline Bench Press,barbell,pecs,epaules_ant|triceps,true,barbell|bench_incline|rack,false,inter,1rm,bench,0.8,3,45,hypertrophie|force,"{""hypertrophie"": [8, 12], ""force"": [3, 5]}",8,8,0,2,press_h,
db_bench_press,DB Bench Press,dumbbell,pecs,triceps|epaules_ant,true,dumbbell|bench,false,debutant,rpe,,,3,30,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",8,8,0,3,press_h,
incline_db_press,Incline DB Press,dumbbell,pecs,epaules_ant|triceps,true,dumbbell|bench_incline,false,debutant,rpe,,,3,30,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",8,8,0,3,press_h,
machine_chest_press,Machine Chest Press,machine,pecs,triceps,true,chest_press_machine,false,debutant,rpe,,,3,30,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",0,8,0,4,press_h,
cable_fly,Cable Fly,cable,pecs,,false,cable,false,debutant,rpe,,,3,30,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",0,6,0,3,fly,
pec_deck,Pec Deck,machine,pecs,,false,pec_deck,false,debutant,rpe,,,3,20,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",0,6,0,3,fly,
db_fly,DB Fly,dumbbell,pecs,,false,dumbbell|bench,false,debutant,rpe,,,3,20,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",6,6,0,3,fly,
push_up_m,Push-Ups,bodyweight,pecs,triceps|tronc,true,,false,debutant,bodyweight,,,2,10,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",8,8,6,5,press_h,même mouvement que le catalogue metcon
dips,Dips,bodyweight,pecs,triceps|epaules_ant,true,dip_station,false,inter,bodyweight,,,3,20,hypertrophie|force|endurance,"{""hypertrophie"": [8, 12], ""force"": [3, 5], ""endurance"": [15, 20]}",8,8,0,4,press_h,lesté possible en force
strict_press,Strict Press,barbell,epaules,triceps|tronc,true,barbell|rack,false,debutant,1rm,press,1.0,3,45,hypertrophie|force|endurance,"{""hypertrophie"": [8, 12], ""force"": [3, 5], ""endurance"": [15, 20]}",8,8,0,1,press_v,
db_shoulder_press,DB Shoulder Press,dumbbell,epaules,triceps,true,dumbbell|bench,false,debutant,rpe,,,3,30,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",8,8,0,2,press_v,
arnold_press,Arnold Press,dumbbell,epaules,triceps,true,dumbbell|bench,false,inter,rpe,,,3,30,hypertrophie,"{""hypertrophie"": [8, 12]}",8,8,0,3,press_v,
lateral_raise,Lateral Raise,dumbbell,epaules,,false,dumbbell,false,debutant,rpe,,,2,15,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",6,6,0,3,raise,
cable_lateral_raise,Cable Lateral Raise,cable,epaules,,false,cable,true,debutant,rpe,,,2,30,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",0,6,0,3,raise,
rear_delt_fly,Rear Delt Fly,dumbbell,epaules_post,haut_dos,false,dumbbell,false,debutant,rpe,,,2,15,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",6,6,0,3,fly,
face_pull,Face Pull,cable,epaules_post,haut_dos,false,cable,false,debutant,rpe,,,2,20,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",0,6,0,3,fly,
front_raise,Front Raise,dumbbell,epaules_ant,,false,dumbbell,false,debutant,rpe,,,2,15,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",6,6,0,3,raise,
landmine_press,Landmine Press,barbell,epaules,pecs|tronc,true,barbell|landmine,true,inter,rpe,,,3,30,hypertrophie,"{""hypertrophie"": [8, 12]}",8,8,0,4,press_v,
cable_triceps_pushdown,Triceps Pushdown,cable,triceps,,false,cable,false,debutant,rpe,,,2,20,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",0,6,0,3,triceps_ext,
overhead_triceps_extension,Overhead Triceps Extension,dumbbell,triceps,,false,dumbbell,false,debutant,rpe,,,3,15,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",6,6,0,3,triceps_ext,
skull_crusher,Skull Crushers,barbell,triceps,,false,barbell|bench,false,inter,rpe,,,3,20,hypertrophie,"{""hypertrophie"": [8, 12]}",6,6,0,3,triceps_ext,
close_grip_bench,Close Grip Bench Press,barbell,triceps,pecs,true,barbell|bench|rack,false,inter,1rm,bench,0.85,3,45,hypertrophie|force,"{""hypertrophie"": [8, 12], ""force"": [3, 5]}",8,8,0,1,press_h,
bench_dip,Bench Dips,bodyweight,triceps,,false,bench,false,debutant,bodyweight,,,2,10,hypertrophie|endurance,"{""hypertrophie"": [8, 12], ""endurance"": [15, 20]}",6,6,0,3,press_h,
deadlift_m,Deadlift,barbell,dos,ischios|fessiers|tronc,true,barbell,false,debutant,1rm,deadlift,1.0,3,45,hypertrophie|force,"{""hypertrophie"": [8, 12], ""force"": [3, 5]}",8,8,0,4,hinge,même mouvement que le catalogue metcon
