id,name,family,pattern,modality,grip,shoulder_load,unit_default,units_allowed,load_unit,weight_functional,weight_hybrid,equipment,cadence_rx_s_per_unit,cadence_m_rx_s_per_unit,cadence_by_category,loads,rep_ranges,substitutions,variant_up,badge_key,active,version,notes
thruster,Thrusters,barbell,squat|push_v,W,low,high,reps,reps,kg,9,2,barbell,3.2,,"{""scaled"": 4.16, ""inter"": 3.68, ""rx"": 3.2, ""rxplus"": 2.94, ""elite"": 2.72, ""pro"": 2.56}","{""scaled"": {""light"": [30, 20], ""medium"": [40, 30], ""heavy"": [50, 35]}, ""inter"": {""light"": [35, 25], ""medium"": [50, 35], ""heavy"": [60, 43]}, ""rx"": {""light"": [43, 30], ""medium"": [60, 43], ""heavy"": [70, 50]}, ""rxplus"": {""light"": [50, 35], ""medium"": [70, 50], ""heavy"": [80, 55]}, ""elite"": {""light"": [55, 40], ""medium"": [80, 55], ""heavy"": [90, 60]}, ""pro"": {""light"": [60, 43], ""medium"": [90, 60], ""heavy"": [100, 70]}}","{""amrap"": [9, 15], ""for_time"": [9, 21], ""emom"": [5, 10], ""interval"": [8, 12]}",,,,true,1,bench 21-15-9 = Fran
power_snatch,Power Snatch,barbell,hinge|pull_v,W,high,high,reps,reps,kg,8,0,barbell,3.5,,"{""scaled"": 4.55, ""inter"": 4.02, ""rx"": 3.5, ""rxplus"": 3.22, ""elite"": 2.98, ""pro"": 2.8}","{""scaled"": {""light"": [20, 15], ""medium"": [30, 20], ""heavy"": [40, 30]}, ""inter"": {""light"": [25, 20], ""medium"": [35, 25], ""heavy"": [50, 35]}, ""rx"": {""light"": [30, 20], ""medium"": [43, 30], ""heavy"": [60, 43]}, ""rxplus"": {""light"": [35, 25], ""medium"": [50, 35], ""heavy"": [70, 50]}, ""elite"": {""light"": [40, 30], ""medium"": [55, 40], ""heavy"": [80, 55]}, ""pro"": {""light"": [43, 30], ""medium"": [60, 43], ""heavy"": [90, 60]}}","{""amrap"": [6, 12], ""for_time"": [6, 15], ""emom"": [3, 7], ""interval"": [5, 10]}",,,,true,1,
hang_power_snatch,Hang Power Snatch,barbell,hinge|pull_v,W,high,high,reps,reps,kg,6,0,barbell,3.0,,"{""scaled"": 3.9, ""inter"": 3.45, ""rx"": 3.0, ""rxplus"": 2.76, ""elite"": 2.55, ""pro"": 2.4}","{""scaled"": {""light"": [20, 15], ""medium"": [30, 20], ""heavy"": [40, 30]}, ""inter"": {""light"": [25, 20], ""medium"": [35, 25], ""heavy"": [50, 35]}, ""rx"": {""light"": [30, 20], ""medium"": [43, 30], ""heavy"": [60, 43]}, ""rxplus"": {""light"": [35, 25], ""medium"": [50, 35], ""heavy"": [70, 50]}, ""elite"": {""light"": [40, 30], ""medium"": [55, 40], ""heavy"": [80, 55]}, ""pro"": {""light"": [43, 30], ""medium"": [60, 43], ""heavy"": [90, 60]}}","{""amrap"": [6, 12], ""for_time"": [6, 15], ""emom"": [4, 8], ""interval"": [5, 10]}",,,,true,1,
squat_snatch,Squat Snatch,barbell,hinge|squat,W,high,high,reps,reps,kg,5,0,barbell,5.0,,"{""scaled"": 6.5, ""inter"": 5.75, ""rx"": 5.0, ""rxplus"": 4.6, ""elite"": 4.25, ""pro"": 4.0}","{""scaled"": {""light"": [20, 15], ""medium"": [30, 20], ""heavy"": [40, 30]}, ""inter"": {""light"": [25, 20], ""medium"": [35, 25], ""heavy"": [50, 35]}, ""rx"": {""light"": [30, 20], ""medium"": [43, 30], ""heavy"": [60, 43]}, ""rxplus"": {""light"": [35, 25], ""medium"": [50, 35], ""heavy"": [70, 50]}, ""elite"": {""light"": [40, 30], ""medium"": [55, 40], ""heavy"": [80, 55]}, ""pro"": {""light"": [43, 30], ""medium"": [60, 43], ""heavy"": [90, 60]}}","{""amrap"": [3, 8], ""for_time"": [3, 10], ""emom"": [2, 5], ""interval"": [3, 6]}",,,,true,1,
overhead_squat,Overhead Squat,barbell,squat,W,low,high,reps,reps,kg,6,0,barbell,3.0,,"{""scaled"": 3.9, ""inter"": 3.45, ""rx"": 3.0, ""rxplus"": 2.76, ""elite"": 2.55, ""pro"": 2.4}","{""scaled"": {""light"": [20, 15], ""medium"": [30, 20], ""heavy"": [40, 30]}, ""inter"": {""light"": [25, 20], ""medium"": [35, 25], ""heavy"": [50, 35]}, ""rx"": {""light"": [30, 20], ""medium"": [43, 30], ""heavy"": [60, 43]}, ""rxplus"": {""light"": [35, 25], ""medium"": [50, 35], ""heavy"": [70, 50]}, ""elite"": {""light"": [40, 30], ""medium"": [55, 40], ""heavy"": [80, 55]}, ""pro"": {""light"": [43, 30], ""medium"": [60, 43], ""heavy"": [90, 60]}}","{""amrap"": [8, 15], ""for_time"": [9, 21], ""emom"": [5, 10], ""interval"": [6, 12]}",,,,true,1,
power_clean,Power Clean,barbell,hinge|pull_v,W,high,low,reps,reps,kg,9,1,barbell,3.5,,"{""scaled"": 4.55, ""inter"": 4.02, ""rx"": 3.5, ""rxplus"": 3.22, ""elite"": 2.98, ""pro"": 2.8}","{""scaled"": {""light"": [30, 20], ""medium"": [40, 30], ""heavy"": [60, 40]}, ""inter"": {""light"": [35, 25], ""medium"": [50, 35], ""heavy"": [80, 55]}, ""rx"": {""light"": [43, 30], ""medium"": [60, 43], ""heavy"": [100, 70]}, ""rxplus"": {""light"": [50, 35], ""medium"": [70, 50], ""heavy"": [120, 80]}, ""elite"": {""light"": [55, 40], ""medium"": [80, 55], ""heavy"": [140, 95]}, ""pro"": {""light"": [60, 43], ""medium"": [90, 60], ""heavy"": [160, 110]}}","{""amrap"": [6, 12], ""for_time"": [6, 15], ""emom"": [3, 7], ""interval"": [5, 10]}",,,,true,1,
hang_power_clean,Hang Power Clean,barbell,hinge|pull_v,W,high,low,reps,reps,kg,7,0,barbell,3.0,,"{""scaled"": 3.9, ""inter"": 3.45, ""rx"": 3.0, ""rxplus"": 2.76, ""elite"": 2.55, ""pro"": 2.4}","{""scaled"": {""light"": [30, 20], ""medium"": [40, 30], ""heavy"": [60, 40]}, ""inter"": {""light"": [35, 25], ""medium"": [50, 35], ""heavy"": [80, 55]}, ""rx"": {""light"": [43, 30], ""medium"": [60, 43], ""heavy"": [100, 70]}, ""rxplus"": {""light"": [50, 35], ""medium"": [70, 50], ""heavy"": [120, 80]}, ""elite"": {""light"": [55, 40], ""medium"": [80, 55], ""heavy"": [140, 95]}, ""pro"": {""light"": [60, 43], ""medium"": [90, 60], ""heavy"": [140, 85]}}","{""amrap"": [6, 12], ""for_time"": [6, 15], ""emom"": [4, 8], ""interval"": [5, 10]}",,,,true,1,
squat_clean,Squat Clean,barbell,hinge|squat,W,high,low,reps,reps,kg,5,0,barbell,5.0,,"{""scaled"": 6.5, ""inter"": 5.75, ""rx"": 5.0, ""rxplus"": 4.6, ""elite"": 4.25, ""pro"": 4.0}","{""scaled"": {""light"": [30, 20], ""medium"": [40, 30], ""heavy"": [60, 40]}, ""inter"": {""light"": [35, 25], ""medium"": [50, 35], ""heavy"": [80, 55]}, ""rx"": {""light"": [43, 30], ""medium"": [60, 43], ""heavy"": [100, 70]}, ""rxplus"": {""light"": [50, 35], ""medium"": [70, 50], ""heavy"": [120, 80]}, ""elite"": {""light"": [55, 40], ""medium"": [80, 55], ""heavy"": [140, 95]}, ""pro"": {""light"": [60, 43], ""medium"": [90, 60], ""heavy"": [160, 110]}}","{""amrap"": [3, 8], ""for_time"": [3, 10], ""emom"": [2, 5], ""interval"": [3, 6]}",,,,true,1,
clean_and_jerk,Clean & Jerk,barbell,hinge|push_v,W,high,high,reps,reps,kg,7,0,barbell,5.5,,"{""scaled"": 7.15, ""inter"": 6.32, ""rx"": 5.5, ""rxplus"": 5.06, ""elite"": 4.67, ""pro"": 4.4}","{""scaled"": {""light"": [30, 20], ""medium"": [40, 30], ""heavy"": [60, 40]}, ""inter"": {""light"": [35, 25], ""medium"": [50, 35], ""heavy"": [80, 55]}, ""rx"": {""light"": [43, 30], ""medium"": [60, 43], ""heavy"": [100, 70]}, ""rxplus"": {""light"": [50, 35], ""medium"": [70, 50], ""heavy"": [120, 80]}, ""elite"": {""light"": [55, 40], ""medium"": [80, 55], ""heavy"": [140, 95]}, ""pro"": {""light"": [60, 43], ""medium"": [90, 60], ""heavy"": [160, 110]}}","{""amrap"": [3, 8], ""for_time"": [3, 10], ""emom"": [2, 5], ""interval"": [3, 6]}",,,,true,1,bench 30 for time = Grace
push_press,Push Press,barbell,push_v,W,low,high,reps,reps,kg,7,1,barbell,2.5,,"{""scaled"": 3.25, ""inter"": 2.88, ""rx"": 2.5, ""rxplus"": 2.3, ""elite"": 2.12, ""pro"": 2.0}","{""scaled"": {""light"": [30, 20], ""medium"": [40, 30], ""heavy"": [50, 35]}, ""inter"": {""light"": [35, 25], ""medium"": [50, 35], ""heavy"": [60, 43]}, ""rx"": {""light"": [43, 30], ""medium"": [60, 43], ""heavy"": [70, 50]}, ""rxplus"": {""light"": [50, 35], ""medium"": [70, 50], ""heavy"": [80, 55]}, ""elite"": {""light"": [55, 40], ""medium"": [80, 55], ""heavy"": [90, 60]}, ""pro"": {""light"": [60, 43], ""medium"": [90, 60], ""heavy"": [100, 70]}}","{""amrap"": [8, 15], ""for_time"": [9, 21], ""emom"": [5, 10], ""interval"": [6, 12]}",,,,true,1,
push_jerk,Push Jerk,barbell,push_v,W,low,high,reps,reps,kg,5,0,barbell,2.8,,"{""scaled"": 3.64, ""inter"": 3.22, ""rx"": 2.8, ""rxplus"": 2.58, ""elite"": 2.38, ""pro"": 2.24}","{""scaled"": {""light"": [30, 20], ""medium"": [40, 30], ""heavy"": [50, 35]}, ""inter"": {""light"": [35, 25], ""medium"": [50, 35], ""heavy"": [60, 43]}, ""rx"": {""light"": [43, 30], ""medium"": [60, 43], ""heavy"": [70, 50]}, ""rxplus"": {""light"": [50, 35], ""medium"": [70, 50], ""heavy"": [80, 55]}, ""elite"": {""light"": [55, 40], ""medium"": [80, 55], ""heavy"": [90, 60]}, ""pro"": {""light"": [60, 43], ""medium"": [90, 60], ""heavy"": [100, 70]}}","{""amrap"": [6, 12], ""for_time"": [6, 15], ""emom"": [4, 8], ""interval"": [5, 10]}",,,,true,1,
shoulder_to_overhead,Shoulder To Overhead,barbell,push_v,W,low,high,reps,reps,kg,8,1,barbell,2.8,,"{""scaled"": 3.64, ""inter"": 3.22, ""rx"": 2.8, ""rxplus"": 2.58, ""elite"": 2.38, ""pro"": 2.24}","{""scaled"": {""light"": [30, 20], ""medium"": [40, 30], ""heavy"": [50, 35]}, ""inter"": {""light"": [35, 25], ""medium"": [50, 35], ""heavy"": [60, 43]}, ""rx"": {""light"": [43, 30], ""medium"": [60, 43], ""heavy"": [70, 50]}, ""rxplus"": {""light"": [50, 35], ""medium"": [70, 50], ""heavy"": [80, 55]}, ""elite"": {""light"": [55, 40], ""medium"": [80, 55], ""heavy"": [90, 60]}, ""pro"": {""light"": [60, 43], ""medium"": [90, 60], ""heavy"": [100, 70]}}","{""amrap"": [8, 15], ""for_time"": [9, 21], ""emom"": [5, 10], ""interval"": [6, 12]}",,,,true,1,
front_squat,Front Squat,barbell,squat,W,low,low,reps,reps,kg,7,1,barbell,3.0,,"{""scaled"": 3.9, ""inter"": 3.45, ""rx"": 3.0, ""rxplus"": 2.76, ""elite"": 2.55, ""pro"": 2.4}","{""scaled"": {""light"": [40, 30], ""medium"": [50, 35], ""heavy"": [60, 40]}, ""inter"": {""light"": [50, 35], ""medium"": [60, 43], ""heavy"": [80, 55]}, ""rx"": {""light"": [60, 43], ""medium"": [70, 50], ""heavy"": [100, 70]}, ""rxplus"": {""light"": [70, 50], ""medium"": [80, 55], ""heavy"": [120, 80]}, ""elite"": {""light"": [80, 55], ""medium"": [90, 60], ""heavy"": [140, 95]}, ""pro"": {""light"": [90, 60], ""medium"": [100, 70], ""heavy"": [160, 110]}}","{""amrap"": [6, 12], ""for_time"": [6, 15], ""emom"": [4, 8], ""interval"": [5, 10]}",,,,true,1,
back_squat,Back Squat,barbell,squat,W,low,low,reps,reps,kg,5,1,barbell|rack,3.0,,"{""scaled"": 3.9, ""inter"": 3.45, ""rx"": 3.0, ""rxplus"": 2.76, ""elite"": 2.55, ""pro"": 2.4}","{""scaled"": {""light"": [40, 30], ""medium"": [60, 40], ""heavy"": [80, 55]}, ""inter"": {""light"": [50, 35], ""medium"": [80, 55], ""heavy"": [100, 70]}, ""rx"": {""light"": [60, 43], ""medium"": [100, 70], ""heavy"": [140, 95]}, ""rxplus"": {""light"": [70, 50], ""medium"": [120, 80], ""heavy"": [160, 110]}, ""elite"": {""light"": [80, 55], ""medium"": [140, 95], ""heavy"": [180, 120]}, ""pro"": {""light"": [90, 60], ""medium"": [160, 110], ""heavy"": [200, 140]}}","{""amrap"": [5, 10], ""for_time"": [5, 15], ""emom"": [3, 6], ""interval"": [4, 8]}",,,,true,1,
deadlift,Deadlift,barbell,hinge,W,high,none,reps,reps,kg,9,2,barbell,2.5,,"{""scaled"": 3.25, ""inter"": 2.88, ""rx"": 2.5, ""rxplus"": 2.3, ""elite"": 2.12, ""pro"": 2.0}","{""scaled"": {""light"": [50, 35], ""medium"": [60, 40], ""heavy"": [80, 55]}, ""inter"": {""light"": [60, 43], ""medium"": [80, 55], ""heavy"": [100, 70]}, ""rx"": {""light"": [70, 50], ""medium"": [100, 70], ""heavy"": [140, 95]}, ""rxplus"": {""light"": [80, 55], ""medium"": [120, 80], ""heavy"": [160, 110]}, ""elite"": {""light"": [90, 60], ""medium"": [140, 95], ""heavy"": [180, 120]}, ""pro"": {""light"": [100, 70], ""medium"": [160, 110], ""heavy"": [200, 140]}}","{""amrap"": [6, 12], ""for_time"": [6, 21], ""emom"": [3, 8], ""interval"": [5, 10]}",,,,true,1,bench 21-15-9 = Diane
sumo_deadlift_high_pull,Sumo Deadlift High Pull,barbell,hinge|pull_v,W,high,low,reps,reps,kg,5,0,barbell,2.2,,"{""scaled"": 2.86, ""inter"": 2.53, ""rx"": 2.2, ""rxplus"": 2.02, ""elite"": 1.87, ""pro"": 1.76}","{""scaled"": {""light"": [20, 15], ""medium"": [30, 20], ""heavy"": [40, 30]}, ""inter"": {""light"": [25, 20], ""medium"": [35, 25], ""heavy"": [50, 35]}, ""rx"": {""light"": [30, 20], ""medium"": [43, 30], ""heavy"": [60, 43]}, ""rxplus"": {""light"": [35, 25], ""medium"": [50, 35], ""heavy"": [70, 50]}, ""elite"": {""light"": [40, 30], ""medium"": [55, 40], ""heavy"": [80, 55]}, ""pro"": {""light"": [43, 30], ""medium"": [60, 43], ""heavy"": [90, 60]}}","{""amrap"": [8, 15], ""for_time"": [9, 21], ""emom"": [5, 10], ""interval"": [6, 12]}",,,,true,1,
