member_ref,mouvement,badge_key,palier,debloque
m013,squat,mv_squat_100,100,true
m013,squat,mv_squat_500,500,true
m013,squat,mv_squat_1000,1000,true
m013,squat,mv_squat_5000,5000,true
m013,deadlift,mv_deadlifts_100,100,true
m013,deadlift,mv_deadlifts_500,500,true
m013,deadlift,mv_deadlifts_1000,1000,true
m013,deadlift,mv_deadlifts_5000,5000,true
m013,pull_up,mv_pullup_100,100,true
m013,pull_up,mv_pullup_500,500,true
m013,pull_up,mv_pullup_1000,1000,true
m013,pull_up,mv_pullup_5000,5000,true
m013,double_under,mv_du_500,500,true
m013,double_under,mv_du_2000,2000,true
m013,double_under,mv_du_5000,5000,true
m013,wall_ball,mv_wallball_100,100,true
m013,wall_ball,mv_wallball_500,500,true
m013,wall_ball,mv_wallball_1000,1000,true
m013,clean_and_jerk,mv_cj_100,100,true
m013,clean_and_jerk,mv_cj_500,500,true
m013,toes_to_bar,mv_t2b_100,100,true
m013,toes_to_bar,mv_t2b_500,500,true
m013,hspu,mv_hspu_100,100,true
m013,ring_muscle_up,mv_ring_mu_50,50,false
m013,snatch,mv_snatch_100,100,false
m013,box_jump,mv_box_jump_100,100,false
m013,chest_to_bar,mv_c2b_100,100,false
m001,chest_to_bar,mv_c2b_100,100,true
m001,chest_to_bar,mv_c2b_500,500,true
m001,chest_to_bar,mv_c2b_1000,1000,true
m001,box_jump,mv_box_jump_100,100,true
m001,box_jump,mv_box_jump_500,500,true
m001,squat,mv_squat_100,100,true
m001,snatch,mv_snatch_100,100,true
m001,snatch,mv_snatch_500,500,true
m001,snatch,mv_snatch_1000,1000,true
m001,snatch,mv_snatch_5000,5000,true
m001,clean_and_jerk,mv_cj_100,100,true
m001,wall_ball,mv_wallball_100,100,true
m001,wall_ball,mv_wallball_500,500,true
m001,wall_ball,mv_wallball_1000,1000,true
m001,wall_ball,mv_wallball_5000,5000,true
m001,toes_to_bar,mv_t2b_100,100,true
m001,toes_to_bar,mv_t2b_500,500,true
m002,chest_to_bar,mv_c2b_100,100,true
m002,chest_to_bar,mv_c2b_500,500,true
m002,chest_to_bar,mv_c2b_1000,1000,true
m002,squat,mv_squat_100,100,true
m002,squat,mv_squat_500,500,true
m002,squat,mv_squat_1000,1000,true
m002,squat,mv_squat_5000,5000,true
m002,snatch,mv_snatch_100,100,true
m002,snatch,mv_snatch_500,500,true
m002,snatch,mv_snatch_1000,1000,true
m002,snatch,mv_snatch_5000,5000,true
m002,hspu,mv_hspu_100,100,true
m002,hspu,mv_hspu_500,500,true
m002,hspu,mv_hspu_1000,1000,true
m002,ring_muscle_up,mv_ring_mu_50,50,true
m002,ring_muscle_up,mv_ring_mu_200,200,true
m002,ring_muscle_up,mv_ring_mu_500,500,true
m002,wall_ball,mv_wallball_100,100,true
m002,wall_ball,mv_wallball_500,500,true
m002,clean_and_jerk,mv_cj_100,100,true
m002,clean_and_jerk,mv_cj_500,500,true
m002,clean_and_jerk,mv_cj_1000,1000,true
m002,clean_and_jerk,mv_cj_5000,5000,true
m003,toes_to_bar,mv_t2b_100,100,true
m003,toes_to_bar,mv_t2b_500,500,true
m003,toes_to_bar,mv_t2b_1000,1000,true
