slot_ref,box_id,jour,heure,type,capacite
s0001,d3d0b0a0-0000-4000-a000-000000000001,2026-08-24,06:30,WOD,20
s0002,d3d0b0a0-0000-4000-a000-000000000001,2026-08-24,07:30,WOD,20
s0003,d3d0b0a0-0000-4000-a000-000000000001,2026-08-24,12:15,WOD,20
s0004,d3d0b0a0-0000-4000-a000-000000000001,2026-08-24,17:30,WOD,20
s0005,d3d0b0a0-0000-4000-a000-000000000001,2026-08-24,18:30,WOD,20
s0006,d3d0b0a0-0000-4000-a000-000000000001,2026-08-24,19:30,WOD,20
s0007,d3d0b0a0-0000-4000-a000-000000000001,2026-08-25,06:30,WOD,20
s0008,d3d0b0a0-0000-4000-a000-000000000001,2026-08-25,07:30,WOD,20
s0009,d3d0b0a0-0000-4000-a000-000000000001,2026-08-25,12:15,WOD,20
s0010,d3d0b0a0-0000-4000-a000-000000000001,2026-08-25,17:30,WOD,20
s0011,d3d0b0a0-0000-4000-a000-000000000001,2026-08-25,18:30,WOD,20
s0012,d3d0b0a0-0000-4000-a000-000000000001,2026-08-25,19:30,WOD,20
s0013,d3d0b0a0-0000-4000-a000-000000000001,2026-08-26,06:30,WOD,20
s0014,d3d0b0a0-0000-4000-a000-000000000001,2026-08-26,07:30,WOD,20
s0015,d3d0b0a0-0000-4000-a000-000000000001,2026-08-26,12:15,WOD,20
s0016,d3d0b0a0-0000-4000-a000-000000000001,2026-08-26,17:30,WOD,20
s0017,d3d0b0a0-0000-4000-a000-000000000001,2026-08-26,18:30,WOD,20
s0018,d3d0b0a0-0000-4000-a000-000000000001,2026-08-26,19:30,WOD,20
s0019,d3d0b0a0-0000-4000-a000-000000000001,2026-08-27,06:30,WOD,20
s0020,d3d0b0a0-0000-4000-a000-000000000001,2026-08-27,07:30,WOD,20
s0021,d3d0b0a0-0000-4000-a000-000000000001,2026-08-27,12:15,WOD,20
s0022,d3d0b0a0-0000-4000-a000-000000000001,2026-08-27,17:30,WOD,20
s0023,d3d0b0a0-0000-4000-a000-000000000001,2026-08-27,18:30,WOD,20
s0024,d3d0b0a0-0000-4000-a000-000000000001,2026-08-27,19:30,WOD,20
s0025,d3d0b0a0-0000-4000-a000-000000000001,2026-08-28,06:30,WOD,20
s0026,d3d0b0a0-0000-4000-a000-000000000001,2026-08-28,07:30,WOD,20
s0027,d3d0b0a0-0000-4000-a000-000000000001,2026-08-28,12:15,WOD,20
s0028,d3d0b0a0-0000-4000-a000-000000000001,2026-08-28,17:30,WOD,20
s0029,d3d0b0a0-0000-4000-a000-000000000001,2026-08-28,18:30,WOD,20
s0030,d3d0b0a0-0000-4000-a000-000000000001,2026-08-28,19:30,WOD,20
s0031,d3d0b0a0-0000-4000-a000-000000000001,2026-08-29,10:00,WOD,20
s0032,d3d0b0a0-0000-4000-a000-000000000001,2026-08-29,11:15,WOD,20
s0033,d3d0b0a0-0000-4000-a000-000000000001,2026-08-30,10:00,WOD,15
s0034,d3d0b0a0-0000-4000-a000-000000000001,2026-08-31,06:30,WOD,20
s0035,d3d0b0a0-0000-4000-a000-000000000001,2026-08-31,07:30,WOD,20
s0036,d3d0b0a0-0000-4000-a000-000000000001,2026-08-31,12:15,WOD,20
s0037,d3d0b0a0-0000-4000-a000-000000000001,2026-08-31,17:30,WOD,20
