member_ref,jour,delta,elo_apres,source_type,source_ref
m002,2026-07-27,11,1284,wod_score,w001
m026,2026-07-27,9,1195,wod_score,w001
m054,2026-07-27,8,1097,wod_score,w001
m005,2026-07-27,11,1222,wod_score,w001
m018,2026-07-27,9,1151,wod_score,w001
m007,2026-07-27,7,1238,wod_score,w001
m032,2026-07-27,5,1122,wod_score,w001
m062,2026-07-27,6,1092,wod_score,w001
m048,2026-07-27,5,1108,wod_score,w001
m058,2026-07-27,6,1178,wod_score,w001
m103,2026-07-27,5,1095,wod_score,w001
m017,2026-07-27,7,1202,wod_score,w001
m015,2026-07-27,0,1219,wod_score,w001
m084,2026-07-27,1,1114,wod_score,w001
m013,2026-07-27,0,1117,wod_score,w001
m076,2026-07-27,1,1150,wod_score,w001
m060,2026-07-27,1,1135,wod_score,w001
m078,2026-07-27,3,1045,wod_score,w001
m023,2026-07-27,1,1147,wod_score,w001
m051,2026-07-27,3,1123,wod_score,w001
m057,2026-07-27,2,1131,wod_score,w001
m088,2026-07-27,2,1096,wod_score,w001
m112,2026-07-27,0,1074,wod_score,w001
m073,2026-07-27,2,1129,wod_score,w001
m113,2026-07-27,1,1078,wod_score,w001
m097,2026-07-27,-3,1092,wod_score,w001
m059,2026-07-27,-1,1120,wod_score,w001
m056,2026-07-27,0,1147,wod_score,w001
m105,2026-07-27,-3,1061,wod_score,w001
m053,2026-07-27,-3,1150,wod_score,w001
m036,2026-07-27,-2,1197,wod_score,w001
m121,2026-07-27,0,1055,wod_score,w001
m107,2026-07-27,-3,1061,wod_score,w001
m101,2026-07-27,0,1128,wod_score,w001
m077,2026-07-27,-1,1153,wod_score,w001
m136,2026-07-27,-3,1005,wod_score,w001
m144,2026-07-27,-2,981,wod_score,w001
m137,2026-07-27,-1,1075,wod_score,w001
m095,2026-07-27,-6,1102,wod_score,w001
m132,2026-07-27,-6,1006,wod_score,w001
m074,2026-07-27,-4,1123,wod_score,w001
m110,2026-07-27,-7,1124,wod_score,w001
m092,2026-07-27,-4,1083,wod_score,w001
m109,2026-07-27,-6,1100,wod_score,w001
m147,2026-07-27,-7,1019,wod_score,w001
m118,2026-07-27,-10,1056,wod_score,w001
m080,2026-07-27,-12,1099,wod_score,w001
m134,2026-07-27,-9,1007,wod_score,w001
m146,2026-07-27,-8,968,wod_score,w001
m149,2026-07-27,-12,945,wod_score,w001
m111,2026-07-27,-10,1045,wod_score,w001
m008,2026-07-28,9,1256,wod_score,w002
m023,2026-07-28,12,1159,wod_score,w002
m013,2026-07-28,9,1126,wod_score,w002
m047,2026-07-28,4,1152,wod_score,w002
m081,2026-07-28,4,1124,wod_score,w002
m035,2026-07-28,7,1170,wod_score,w002
m022,2026-07-28,4,1183,wod_score,w002
m025,2026-07-28,7,1180,wod_score,w002
m055,2026-07-28,7,1136,wod_score,w002
m097,2026-07-28,1,1093,wod_score,w002
m043,2026-07-28,0,1160,wod_score,w002
m020,2026-07-28,3,1199,wod_score,w002
m060,2026-07-28,3,1138,wod_score,w002
m033,2026-07-28,3,1166,wod_score,w002
m018,2026-07-28,2,1153,wod_score,w002
m080,2026-07-28,0,1099,wod_score,w002
m042,2026-07-28,0,1159,wod_score,w002
m074,2026-07-28,2,1125,wod_score,w002
m029,2026-07-28,1,1167,wod_score,w002
m126,2026-07-28,-1,1040,wod_score,w002
m119,2026-07-28,-2,1072,wod_score,w002
m096,2026-07-28,-1,1077,wod_score,w002
m083,2026-07-28,-3,1109,wod_score,w002
m032,2026-07-28,-1,1121,wod_score,w002
m057,2026-07-28,-3,1128,wod_score,w002
m075,2026-07-28,-1,1129,wod_score,w002
m077,2026-07-28,-1,1152,wod_score,w002
m048,2026-07-28,-2,1106,wod_score,w002
m100,2026-07-28,-6,1079,wod_score,w002
m071,2026-07-28,-6,1063,wod_score,w002
m127,2026-07-28,-5,1047,wod_score,w002
m116,2026-07-28,-5,1044,wod_score,w002
m112,2026-07-28,-6,1068,wod_score,w002
m101,2026-07-28,-5,1123,wod_score,w002
m089,2026-07-28,-12,1080,wod_score,w002
m108,2026-07-28,-11,1087,wod_score,w002
m143,2026-07-28,-12,990,wod_score,w002
m148,2026-07-28,-11,962,wod_score,w002
m003,2026-07-29,9,1263,wod_score,w003
m008,2026-07-29,10,1266,wod_score,w003
m019,2026-07-29,9,1182,wod_score,w003
m007,2026-07-29,5,1243,wod_score,w003
m029,2026-07-29,4,1171,wod_score,w003
m055,2026-07-29,6,1142,wod_score,w003
m038,2026-07-29,5,1120,wod_score,w003
m100,2026-07-29,5,1084,wod_score,w003
m017,2026-07-29,0,1202,wod_score,w003
m076,2026-07-29,3,1153,wod_score,w003
m041,2026-07-29,2,1169,wod_score,w003
m042,2026-07-29,3,1162,wod_score,w003
m096,2026-07-29,3,1080,wod_score,w003
m049,2026-07-29,1,1179,wod_score,w003
m112,2026-07-29,0,1068,wod_score,w003
m079,2026-07-29,1,1105,wod_score,w003
m106,2026-07-29,0,1072,wod_score,w003
m069,2026-07-29,-3,1139,wod_score,w003
m107,2026-07-29,-1,1060,wod_score,w003
m064,2026-07-29,-2,1110,wod_score,w003
m113,2026-07-29,-2,1076,wod_score,w003
m127,2026-07-29,0,1047,wod_score,w003
m125,2026-07-29,-1,1027,wod_score,w003
m126,2026-07-29,0,1040,wod_score,w003
m120,2026-07-29,0,1032,wod_score,w003
m144,2026-07-29,-5,976,wod_score,w003
m130,2026-07-29,-6,1059,wod_score,w003
m134,2026-07-29,-4,1003,wod_score,w003
m104,2026-07-29,-6,1068,wod_score,w003
m142,2026-07-29,-7,1066,wod_score,w003
m147,2026-07-29,-8,1011,wod_score,w003
m013,2026-07-29,-12,1114,wod_score,w003
m137,2026-07-29,-11,1064,wod_score,w003
m140,2026-07-29,-9,1022,wod_score,w003
m008,2026-07-30,12,1278,wod_score,w004
m018,2026-07-30,11,1164,wod_score,w004
m003,2026-07-30,9,1272,wod_score,w004
m005,2026-07-30,6,1228,wod_score,w004
m009,2026-07-30,7,1212,wod_score,w004
m034,2026-07-30,7,1115,wod_score,w004
m017,2026-07-30,4,1206,wod_score,w004
m083,2026-07-30,1,1110,wod_score,w004
m019,2026-07-30,2,1184,wod_score,w004
m050,2026-07-30,1,1100,wod_score,w004
m059,2026-07-30,0,1120,wod_score,w004
m049,2026-07-30,2,1181,wod_score,w004
m020,2026-07-30,0,1199,wod_score,w004
m093,2026-07-30,3,1084,wod_score,w004
m062,2026-07-30,2,1094,wod_score,w004
m016,2026-07-30,-3,1172,wod_score,w004
m144,2026-07-30,-2,974,wod_score,w004
m123,2026-07-30,-2,1068,wod_score,w004
m103,2026-07-30,-2,1093,wod_score,w004
m058,2026-07-30,0,1178,wod_score,w004
m132,2026-07-30,-1,1005,wod_score,w004
