member_ref,elo_depart,jour
m001,1305,2026-07-27
m002,1273,2026-07-27
m003,1254,2026-07-27
m004,1232,2026-07-27
m005,1211,2026-07-27
m006,1086,2026-07-27
m007,1231,2026-07-27
m008,1247,2026-07-27
m009,1205,2026-07-27
m010,1208,2026-07-27
m011,1161,2026-07-27
m012,1266,2026-07-27
m013,1057,2026-07-27
m014,1203,2026-07-27
m015,1219,2026-07-27
m016,1175,2026-07-27
m017,1195,2026-07-27
m018,1142,2026-07-27
m019,1173,2026-07-27
m020,1196,2026-07-27
m021,1169,2026-07-27
m022,1179,2026-07-27
m023,1146,2026-07-27
m024,1175,2026-07-27
m025,1173,2026-07-27
m026,1186,2026-07-27
m027,1172,2026-07-27
m028,1168,2026-07-27
m029,1166,2026-07-27
m030,1169,2026-07-27
m031,1173,2026-07-27
m032,1117,2026-07-27
m033,1163,2026-07-27
m034,1108,2026-07-27
m035,1163,2026-07-27
m036,1199,2026-07-27
m037,1142,2026-07-27
m038,1115,2026-07-27
m039,1157,2026-07-27
m040,1159,2026-07-27
m041,1167,2026-07-27
m042,1159,2026-07-27
m043,1160,2026-07-27
m044,1134,2026-07-27
m045,1160,2026-07-27
m046,1082,2026-07-27
m047,1148,2026-07-27
m048,1103,2026-07-27
m049,1178,2026-07-27
m050,1099,2026-07-27
m051,1120,2026-07-27
m052,1176,2026-07-27
m053,1153,2026-07-27
m054,1089,2026-07-27
m055,1129,2026-07-27
m056,1147,2026-07-27
m057,1129,2026-07-27
m058,1172,2026-07-27
m059,1121,2026-07-27
m060,1134,2026-07-27
m061,1080,2026-07-27
m062,1086,2026-07-27
m063,1107,2026-07-27
m064,1112,2026-07-27
m065,1158,2026-07-27
m066,1165,2026-07-27
m067,1110,2026-07-27
m068,1140,2026-07-27
m069,1142,2026-07-27
m070,1102,2026-07-27
m071,1069,2026-07-27
m072,1131,2026-07-27
m073,1127,2026-07-27
m074,1127,2026-07-27
m075,1130,2026-07-27
m076,1149,2026-07-27
m077,1154,2026-07-27
m078,1042,2026-07-27
m079,1104,2026-07-27
m080,1111,2026-07-27
m081,1120,2026-07-27
m082,1141,2026-07-27
m083,1112,2026-07-27
m084,1113,2026-07-27
m085,1121,2026-07-27
m086,1089,2026-07-27
m087,1091,2026-07-27
m088,1094,2026-07-27
m089,1092,2026-07-27
m090,1094,2026-07-27
m091,1074,2026-07-27
m092,1087,2026-07-27
m093,1081,2026-07-27
m094,1118,2026-07-27
m095,1108,2026-07-27
m096,1078,2026-07-27
m097,1095,2026-07-27
m098,1090,2026-07-27
m099,1060,2026-07-27
m100,1085,2026-07-27
m101,1128,2026-07-27
m102,1060,2026-07-27
m103,1090,2026-07-27
m104,1074,2026-07-27
m105,1064,2026-07-27
m106,1072,2026-07-27
m107,1064,2026-07-27
m108,1098,2026-07-27
m109,1106,2026-07-27
m110,1131,2026-07-27
m111,1055,2026-07-27
m112,1074,2026-07-27
m113,1077,2026-07-27
m114,1054,2026-07-27
m115,1057,2026-07-27
m116,1049,2026-07-27
m117,1059,2026-07-27
m118,1066,2026-07-27
m119,1074,2026-07-27
m120,1032,2026-07-27
m121,1055,2026-07-27
m122,1086,2026-07-27
m123,1070,2026-07-27
m124,1045,2026-07-27
m125,1028,2026-07-27
m126,1041,2026-07-27
m127,1052,2026-07-27
m128,1083,2026-07-27
m129,1031,2026-07-27
m130,1065,2026-07-27
m131,1062,2026-07-27
m132,1012,2026-07-27
m133,1008,2026-07-27
m134,1016,2026-07-27
m135,1002,2026-07-27
m136,1008,2026-07-27
m137,1076,2026-07-27
m138,1071,2026-07-27
m139,1003,2026-07-27
m140,1031,2026-07-27
m141,981,2026-07-27
m142,1073,2026-07-27
m143,1002,2026-07-27
m144,983,2026-07-27
m145,997,2026-07-27
m146,976,2026-07-27
m147,1026,2026-07-27
m148,973,2026-07-27
m149,957,2026-07-27
m150,968,2026-07-27
