member_ref,mouvement,total_reps
m013,squat,5248
m013,deadlift,7292
m013,pull_up,7206
m013,double_under,8854
m013,wall_ball,1112
m013,clean_and_jerk,821
m013,toes_to_bar,838
m013,hspu,375
m013,ring_muscle_up,13
m013,snatch,72
m013,box_jump,98
m013,chest_to_bar,95
m001,chest_to_bar,1219
m001,box_jump,788
m001,squat,255
m001,snatch,5650
m001,clean_and_jerk,465
m001,wall_ball,6474
m001,toes_to_bar,576
m002,chest_to_bar,1289
m002,squat,6042
m002,snatch,6302
m002,hspu,1022
m002,ring_muscle_up,639
m002,wall_ball,823
m002,clean_and_jerk,5626
m003,toes_to_bar,1294
m003,box_jump,709
m003,pull_up,358
m003,squat,6822
m004,clean_and_jerk,7470
m004,double_under,14747
m004,toes_to_bar,142
m004,snatch,4773
m004,ring_muscle_up,119
m005,ring_muscle_up,170
m005,double_under,5639
m005,hspu,1146
m005,snatch,518
m005,box_jump,1366
m005,clean_and_jerk,481
m006,box_jump,765
m006,squat,595
m006,snatch,5594
m006,ring_muscle_up,89
m006,wall_ball,6667
m006,pull_up,7335
m006,hspu,112
m007,hspu,1059
m007,chest_to_bar,595
m007,box_jump,783
m007,snatch,675
m008,squat,140
m008,wall_ball,361
m009,chest_to_bar,1222
m009,toes_to_bar,1433
m009,snatch,5529
m010,double_under,3655
m010,snatch,931
m010,deadlift,3489
m010,ring_muscle_up,569
m010,clean_and_jerk,607
m011,hspu,1007
m011,double_under,792
m012,clean_and_jerk,3793
m012,hspu,586
m012,deadlift,2222
m012,double_under,12823
m012,wall_ball,231
m014,chest_to_bar,152
m014,clean_and_jerk,7207
m014,toes_to_bar,102
m015,wall_ball,4573
m015,deadlift,745
m015,double_under,13589
m015,ring_muscle_up,740
m016,double_under,11794
m016,pull_up,7032
m016,squat,416
m016,toes_to_bar,1174
m017,box_jump,830
m017,chest_to_bar,289
m018,deadlift,193
m018,pull_up,3664
m019,toes_to_bar,194
m019,wall_ball,6298
m019,ring_muscle_up,505
m019,pull_up,5198
m019,snatch,4506
m019,squat,2710
m020,ring_muscle_up,81
m020,toes_to_bar,1230
m021,toes_to_bar,1156
m021,pull_up,5839
m021,deadlift,999
m021,squat,2076
m021,clean_and_jerk,6276
m022,box_jump,465
m022,toes_to_bar,697
m022,deadlift,3368
m023,wall_ball,614
m023,squat,3239
m024,deadlift,664
m024,box_jump,1204
m025,wall_ball,7129
m025,double_under,11712
m025,clean_and_jerk,755
m025,snatch,6431
m025,deadlift,941
m025,ring_muscle_up,748
m026,double_under,14841
m026,toes_to_bar,1468
m026,box_jump,857
m026,squat,219
m026,clean_and_jerk,536
m026,deadlift,223
m026,hspu,1313
m027,hspu,225
