slot_ref,member_ref,statut
s0039,m013,attended
s0043,m013,attended
s0056,m013,attended
s0063,m013,attended
s0072,m013,booked
s0075,m013,booked
s0090,m013,booked
s0094,m013,booked
s0018,m001,attended
s0032,m002,attended
s0031,m003,attended
s0024,m003,attended
s0031,m004,attended
s0032,m005,attended
s0021,m005,attended
s0015,m005,attended
s0033,m006,attended
s0024,m006,attended
s0031,m006,attended
s0004,m006,attended
s0025,m007,attended
s0014,m007,attended
s0008,m007,attended
s0005,m008,attended
s0033,m008,attended
s0028,m008,attended
s0016,m009,attended
s0033,m009,attended
s0031,m009,no_show
s0010,m010,attended
s0032,m010,attended
s0024,m010,attended
s0033,m011,attended
s0026,m012,attended
s0014,m012,attended
s0009,m014,attended
s0015,m014,attended
s0033,m014,attended
s0026,m015,attended
s0033,m015,attended
s0014,m015,attended
s0002,m015,attended
s0033,m016,attended
s0023,m016,attended
s0030,m017,attended
s0033,m017,attended
s0031,m017,attended
s0033,m018,attended
s0029,m018,attended
s0012,m018,attended
s0002,m019,attended
s0031,m020,attended
s0014,m020,attended
s0006,m021,attended
s0033,m022,attended
s0028,m022,attended
s0033,m023,attended
s0032,m023,attended
s0014,m024,attended
s0004,m025,attended
s0033,m025,no_show
s0018,m026,attended
s0029,m026,attended
s0008,m026,attended
s0033,m027,attended
s0027,m027,attended
s0003,m027,attended
s0006,m028,attended
s0031,m030,no_show
s0029,m030,attended
s0033,m031,attended
s0017,m031,attended
s0024,m031,attended
s0028,m032,attended
s0032,m032,attended
s0033,m032,attended
s0031,m033,attended
s0029,m034,attended
s0011,m034,attended
s0031,m035,attended
s0013,m035,attended
s0032,m036,attended
s0011,m037,attended
s0032,m037,attended
s0003,m037,attended
s0024,m037,attended
s0032,m038,attended
s0018,m038,attended
s0028,m038,attended
s0019,m039,attended
s0015,m039,attended
s0032,m040,attended
s0002,m040,attended
s0025,m040,no_show
s0016,m041,attended
s0031,m041,attended
s0018,m043,attended
s0006,m043,attended
s0024,m043,attended
s0008,m045,attended
s0022,m045,attended
s0004,m045,attended
s0032,m046,attended
s0032,m047,attended
s0004,m047,attended
s0028,m047,attended
s0032,m048,attended
s0015,m048,attended
s0003,m048,attended
s0011,m049,no_show
s0016,m049,attended
s0024,m049,attended
s0003,m050,attended
s0027,m050,no_show
s0031,m050,attended
s0023,m051,attended
s0017,m051,attended
s0015,m052,attended
s0027,m052,attended
s0006,m052,attended
s0022,m053,attended
s0012,m054,attended
s0005,m054,attended
s0011,m055,attended
s0009,m056,attended
s0027,m056,attended
s0003,m056,attended
s0027,m057,attended
s0015,m057,attended
s0023,m058,attended
s0017,m058,attended
s0008,m059,attended
s0004,m059,attended
s0007,m060,attended
s0005,m061,attended
s0032,m062,attended
s0006,m062,attended
s0026,m063,attended
s0008,m063,attended
s0019,m063,attended
s0002,m063,attended
s0031,m064,attended
s0008,m064,attended
s0018,m065,attended
s0006,m066,attended
s0032,m066,attended
s0011,m066,attended
s0022,m066,attended
s0031,m067,attended
s0014,m067,attended
s0022,m067,attended
s0001,m068,attended
s0010,m068,attended
s0007,m069,attended
s0016,m071,attended
s0006,m072,attended
s0023,m072,attended
s0031,m073,attended
s0030,m073,attended
s0004,m074,attended
s0023,m074,attended
s0017,m074,attended
s0027,m075,attended
s0010,m076,attended
s0017,m076,attended
s0004,m076,attended
s0031,m077,attended
s0004,m077,attended
s0016,m078,attended
s0024,m078,attended
s0028,m078,attended
s0027,m080,attended
s0021,m080,attended
s0014,m081,attended
s0029,m082,attended
s0002,m083,attended
s0016,m084,attended
s0011,m084,attended
s0005,m085,attended
s0027,m085,attended
s0019,m085,attended
s0015,m085,attended
s0024,m086,attended
s0031,m086,attended
s0029,m086,attended
s0027,m087,attended
s0009,m087,attended
s0006,m088,attended
s0028,m088,attended
s0012,m088,attended
s0031,m089,attended
s0026,m089,attended
s0013,m089,attended
s0019,m090,attended
s0025,m090,attended
s0024,m091,attended
s0032,m092,attended
s0004,m092,attended
s0029,m093,attended
s0023,m093,attended
s0032,m094,attended
s0031,m095,attended
s0008,m095,attended
s0002,m095,attended
s0015,m095,attended
s0032,m096,no_show
s0014,m096,attended
s0014,m097,attended
s0006,m097,attended
s0030,m097,attended
s0005,m098,attended
s0032,m098,attended
s0004,m099,attended
s0024,m099,attended
s0032,m099,attended
s0028,m100,attended
s0006,m100,attended
s0009,m101,attended
s0005,m101,attended
s0030,m101,attended
s0003,m102,attended
s0015,m102,attended
s0020,m102,attended
s0012,m103,attended
s0022,m103,attended
s0008,m104,attended
s0020,m104,attended
s0001,m105,attended
s0014,m105,attended
s0032,m105,attended
s0002,m106,no_show
s0017,m106,attended
s0020,m106,attended
s0031,m106,attended
s0010,m107,no_show
s0028,m107,attended
s0030,m108,attended
s0008,m108,no_show
s0014,m109,attended
s0026,m109,attended
s0008,m109,attended
s0030,m110,no_show
s0031,m110,attended
s0022,m110,attended
s0002,m111,attended
s0013,m111,attended
s0027,m112,attended
s0003,m112,attended
s0021,m113,attended
s0015,m113,attended
s0009,m113,attended
s0027,m113,attended
s0023,m115,attended
s0010,m116,attended
s0005,m116,attended
s0022,m117,no_show
s0017,m117,attended
s0030,m117,attended
s0029,m118,attended
s0016,m118,attended
s0011,m118,attended
s0007,m119,attended
s0019,m119,attended
s0004,m120,attended
s0030,m121,attended
s0011,m121,attended
s0011,m123,attended
s0005,m124,attended
s0008,m125,attended
s0013,m125,attended
s0006,m127,attended
s0017,m127,attended
s0029,m127,attended
s0004,m128,attended
s0005,m130,attended
s0016,m130,attended
s0030,m130,attended
s0011,m130,no_show
s0030,m131,attended
s0018,m131,attended
s0011,m131,attended
s0019,m133,attended
s0016,m133,attended
s0005,m133,attended
s0012,m134,attended
s0006,m135,no_show
s0021,m135,attended
s0029,m136,attended
s0023,m136,attended
s0005,m136,attended
s0027,m138,no_show
s0017,m139,attended
s0012,m139,attended
s0018,m140,no_show
s0009,m142,attended
s0027,m142,attended
s0005,m143,attended
s0005,m144,no_show
s0024,m144,attended
s0021,m145,attended
s0027,m145,attended
s0010,m146,no_show
s0003,m146,attended
s0029,m146,attended
s0028,m148,attended
s0010,m148,attended
s0016,m149,attended
s0025,m149,attended
s0011,m149,attended
s0005,m150,attended
s0045,m001,attended
s0056,m001,attended
s0061,m002,attended
s0051,m002,attended
s0062,m003,attended
s0055,m003,attended
s0054,m004,attended
s0048,m005,attended
s0060,m005,attended
s0066,m005,attended
s0066,m006,attended
s0045,m006,attended
s0050,m006,attended
s0062,m006,no_show
s0065,m007,attended
s0053,m007,no_show
s0066,m007,attended
s0056,m008,attended
s0037,m008,attended
s0050,m008,attended
s0044,m009,attended
s0055,m010,attended
s0043,m010,attended
s0039,m010,attended
s0035,m011,attended
s0066,m012,attended
s0041,m012,attended
s0064,m014,attended
s0054,m014,attended
s0060,m014,attended
s0065,m015,attended
s0047,m015,attended
s0066,m015,attended
s0034,m015,attended
s0064,m016,attended
s0066,m016,attended
s0061,m017,attended
s0044,m017,attended
s0055,m017,attended
s0051,m018,attended
s0062,m018,attended
s0066,m018,attended
s0034,m019,attended
s0066,m019,attended
s0058,m020,attended
s0066,m020,no_show
s0038,m020,attended
s0064,m020,attended
s0036,m022,no_show
s0064,m022,attended
s0065,m023,attended
s0066,m023,no_show
s0050,m023,attended
s0046,m024,attended
s0040,m024,no_show
s0065,m025,attended
s0066,m025,attended
s0056,m025,attended
s0066,m026,attended
s0041,m026,attended
s0064,m026,attended
s0060,m027,attended
s0065,m027,attended
s0066,m027,attended
s0044,m028,attended
s0049,m029,attended
s0056,m030,attended
s0066,m030,attended
s0039,m031,attended
s0055,m031,attended
s0049,m031,attended
s0049,m032,attended
s0045,m032,attended
s0039,m033,attended
s0049,m033,attended
s0039,m034,attended
s0058,m035,attended
s0050,m035,attended
s0048,m036,attended
s0066,m036,no_show
s0045,m037,attended
s0062,m037,attended
s0050,m037,attended
s0039,m037,attended
s0045,m038,attended
s0064,m038,attended
s0061,m038,attended
s0057,m038,attended
s0042,m039,attended
s0036,m039,attended
s0065,m039,attended
s0060,m039,attended
s0065,m040,attended
s0052,m040,attended
s0043,m040,attended
s0039,m041,attended
s0065,m041,attended
s0039,m042,attended
s0062,m042,attended
s0065,m043,attended
s0044,m043,attended
s0050,m043,attended
s0049,m045,attended
s0039,m045,attended
s0056,m045,attended
s0049,m046,attended
s0056,m047,attended
s0065,m047,attended
s0061,m048,attended
s0065,m048,attended
s0036,m048,attended
s0064,m049,attended
s0036,m050,attended
s0060,m050,attended
s0054,m050,attended
s0050,m051,attended
s0054,m051,attended
s0062,m051,attended
s0048,m052,attended
s0054,m052,attended
s0063,m052,attended
s0039,m053,attended
s0049,m053,attended
s0036,m055,attended
s0042,m056,attended
s0049,m056,attended
s0036,m057,attended
s0060,m057,attended
s0065,m058,attended
s0043,m059,attended
