tournament_ref,match_ref,bracket,tour,jour,joueur_a,joueur_b,vainqueur,perdant,score_vainqueur,score_perdant,statut
t001,t001-wb001,winners,1,2026-08-17,m099,m008,m099,m008,207 reps,173 reps,termine
t001,t001-wb002,winners,1,2026-08-17,m019,m077,m019,m077,246 reps,207 reps,termine
t001,t001-wb003,winners,1,2026-08-17,m147,m018,m018,m147,194 reps,166 reps,termine
t001,t001-wb004,winners,1,2026-08-17,m022,m013,m022,m013,246 reps,206 reps,termine
t001,t001-wb005,winners,1,2026-08-17,m149,m049,m049,m149,252 reps,223 reps,termine
t001,t001-wb006,winners,1,2026-08-17,m054,m122,m054,m122,273 reps,267 reps,termine
t001,t001-wb007,winners,1,2026-08-17,m052,m041,m041,m052,244 reps,216 reps,termine
t001,t001-wb008,winners,1,2026-08-17,m138,m006,m006,m138,181 reps,177 reps,termine
t001,t001-wb009,winners,1,2026-08-17,m136,m072,m136,m072,262 reps,237 reps,termine
t001,t001-wb010,winners,1,2026-08-17,m046,m035,m046,m035,169 reps,164 reps,termine
t001,t001-wb011,winners,1,2026-08-17,m066,m140,m066,m140,233 reps,208 reps,termine
t001,t001-wb012,winners,1,2026-08-17,m062,m145,m062,m145,221 reps,196 reps,termine
t001,t001-wb013,winners,1,2026-08-17,m061,m036,m036,m061,229 reps,215 reps,termine
t001,t001-wb014,winners,1,2026-08-17,m094,m121,m121,m094,181 reps,176 reps,termine
t001,t001-wb015,winners,1,2026-08-17,m037,m078,m037,m078,198 reps,168 reps,termine
t001,t001-wb016,winners,1,2026-08-17,m139,m109,m109,m139,181 reps,160 reps,termine
t001,t001-wb017,winners,2,2026-08-18,m099,m019,m019,m099,274 reps,254 reps,termine
t001,t001-wb018,winners,2,2026-08-18,m018,m022,m022,m018,208 reps,185 reps,termine
t001,t001-wb019,winners,2,2026-08-18,m049,m054,m054,m049,251 reps,221 reps,termine
t001,t001-wb020,winners,2,2026-08-18,m041,m006,m006,m041,182 reps,154 reps,termine
t001,t001-wb021,winners,2,2026-08-18,m136,m046,m046,m136,227 reps,203 reps,termine
t001,t001-wb022,winners,2,2026-08-18,m066,m062,m062,m066,194 reps,186 reps,termine
t001,t001-wb023,winners,2,2026-08-18,m036,m121,m036,m121,261 reps,237 reps,termine
t001,t001-wb024,winners,2,2026-08-18,m037,m109,m037,m109,205 reps,201 reps,termine
t001,t001-wb025,winners,3,2026-08-19,m019,m022,m019,m022,179 reps,176 reps,termine
t001,t001-wb026,winners,3,2026-08-19,m054,m006,m006,m054,249 reps,224 reps,termine
t001,t001-wb027,winners,3,2026-08-19,m046,m062,m062,m046,206 reps,173 reps,termine
t001,t001-wb028,winners,3,2026-08-19,m036,m037,m037,m036,257 reps,254 reps,termine
t001,t001-wb029,winners,4,2026-08-20,m019,m006,m006,m019,197 reps,187 reps,termine
t001,t001-wb030,winners,4,2026-08-20,m062,m037,m062,m037,193 reps,162 reps,termine
t001,t001-wb031,winners,5,2026-08-21,m006,m062,m006,m062,220 reps,199 reps,termine
t001,t001-lb001,losers,1,2026-08-17,m061,m147,m061,m147,222 reps,210 reps,termine
t001,t001-lb002,losers,1,2026-08-17,m145,m008,m008,m145,230 reps,213 reps,termine
t001,t001-lb003,losers,1,2026-08-17,m139,m072,m072,m139,159 reps,124 reps,termine
t001,t001-lb004,losers,1,2026-08-17,m094,m078,m078,m094,250 reps,244 reps,termine
t001,t001-lb005,losers,1,2026-08-17,m077,m122,m122,m077,211 reps,204 reps,termine
t001,t001-lb006,losers,1,2026-08-17,m035,m138,m035,m138,205 reps,195 reps,termine
t001,t001-lb007,losers,1,2026-08-17,m013,m140,m013,m140,275 reps,263 reps,termine
t001,t001-lb008,losers,1,2026-08-17,m149,m052,m149,m052,239 reps,217 reps,termine
t001,t001-lb009,losers,2,2026-08-18,m122,m061,m061,m122,264 reps,256 reps,termine
t001,t001-lb010,losers,2,2026-08-18,m008,m066,m066,m008,209 reps,172 reps,termine
t001,t001-lb011,losers,2,2026-08-18,m078,m136,m078,m136,225 reps,198 reps,termine
t001,t001-lb012,losers,2,2026-08-18,m109,m013,m013,m109,192 reps,171 reps,termine
t001,t001-lb013,losers,2,2026-08-18,m099,m018,m018,m099,252 reps,235 reps,termine
t001,t001-lb014,losers,2,2026-08-18,m121,m149,m149,m121,155 reps,132 reps,termine
t001,t001-lb015,losers,2,2026-08-18,m041,m049,m049,m041,204 reps,170 reps,termine
t001,t001-lb016,losers,2,2026-08-18,m072,m035,m072,m035,192 reps,182 reps,termine
t001,t001-lb017,losers,3,2026-08-19,m061,m149,m061,m149,274 reps,260 reps,termine
t001,t001-lb018,losers,3,2026-08-19,m054,m049,m054,m049,155 reps,152 reps,termine
t001,t001-lb019,losers,3,2026-08-19,m078,m036,m078,m036,156 reps,152 reps,termine
t001,t001-lb020,losers,3,2026-08-19,m066,m022,m066,m022,175 reps,146 reps,termine
t001,t001-lb021,losers,3,2026-08-19,m018,m072,m018,m072,189 reps,176 reps,termine
t001,t001-lb022,losers,3,2026-08-19,m013,m046,m013,m046,152 reps,113 reps,termine
t001,t001-lb023,losers,4,2026-08-20,m013,m019,m013,m019,266 reps,226 reps,termine
t001,t001-lb024,losers,4,2026-08-20,m061,m054,m054,m061,261 reps,257 reps,termine
t001,t001-lb025,losers,4,2026-08-20,m066,m078,m078,m066,158 reps,141 reps,termine
t001,t001-lb026,losers,4,2026-08-20,m037,m018,m018,m037,273 reps,236 reps,termine
t001,t001-lb027,losers,5,2026-08-21,m078,m018,m078,m018,167 reps,154 reps,termine
t001,t001-lb028,losers,5,2026-08-21,m062,m054,m062,m054,223 reps,211 reps,termine
t002,t002-wb001,winners,1,2026-09-03,m122,m149,m149,m122,07:29,08:14,termine
t002,t002-wb002,winners,1,2026-09-03,m076,m013,m013,m076,12:03,12:56,termine
t002,t002-wb003,winners,1,2026-09-03,m048,m012,m012,m048,09:54,10:24,termine
t002,t002-wb004,winners,1,2026-09-03,m070,m062,m070,m062,12:39,13:16,termine
t002,t002-wb005,winners,1,2026-09-03,m030,m104,m030,m104,08:30,09:00,termine
t002,t002-wb006,winners,1,2026-09-03,m068,m128,m068,m128,14:17,15:22,termine
t002,t002-wb007,winners,1,2026-09-03,m078,m071,m071,m078,11:26,12:04,termine
t002,t002-wb008,winners,1,2026-09-03,m049,m034,m034,m049,11:50,13:15,termine
t002,t002-wb009,winners,1,2026-09-03,m131,m006,m006,m131,10:13,11:19,termine
