tournament_ref,member_ref,seed
t001,m099,1
t001,m008,2
t001,m019,3
t001,m077,4
t001,m147,5
t001,m018,6
t001,m022,7
t001,m013,8
t001,m149,9
t001,m049,10
t001,m054,11
t001,m122,12
t001,m052,13
t001,m041,14
t001,m138,15
t001,m006,16
t001,m136,17
t001,m072,18
t001,m046,19
t001,m035,20
t001,m066,21
t001,m140,22
t001,m062,23
t001,m145,24
t001,m061,25
t001,m036,26
t001,m094,27
t001,m121,28
t001,m037,29
t001,m078,30
t001,m139,31
t001,m109,32
t002,m122,1
t002,m149,2
t002,m076,3
t002,m013,4
t002,m048,5
t002,m012,6
t002,m070,7
t002,m062,8
t002,m030,9
t002,m104,10
t002,m068,11
t002,m128,12
t002,m078,13
t002,m071,14
t002,m049,15
t002,m034,16
t002,m131,17
t002,m006,18
t002,m083,19
t002,m002,20
t002,m005,21
t002,m058,22
t002,m143,23
t002,m061,24
t002,m142,25
t002,m010,26
t002,m133,27
t002,m082,28
t002,m150,29
t002,m011,30
t002,m046,31
t002,m016,32
t003,m141,1
t003,m039,2
t003,m126,3
t003,m109,4
t003,m086,5
t003,m097,6
t003,m045,7
t003,m014,8
t003,m034,9
t003,m144,10
t003,m108,11
t003,m056,12
t003,m080,13
t003,m117,14
t003,m136,15
t003,m035,16
t003,m012,17
t003,m022,18
t003,m007,19
t003,m002,20
t003,m018,21
t003,m085,22
t003,m100,23
t003,m066,24
t003,m150,25
t003,m145,26
t003,m004,27
t003,m082,28
t003,m110,29
t003,m036,30
t003,m023,31
t003,m119,32
t003,m054,33
t003,m044,34
t003,m071,35
t003,m124,36
t003,m090,37
t003,m008,38
t003,m017,39
t003,m040,40
t003,m137,41
t003,m105,42
t003,m046,43
t003,m073,44
t003,m099,45
t003,m011,46
t003,m013,47
t004,m075,1
t004,m065,2
t004,m038,3
t004,m110,4
t004,m101,5
t004,m081,6
t004,m061,7
t004,m041,8
t005,m140,1
t005,m079,2
t005,m013,3
t005,m066,4
t005,m147,5
t005,m032,6
t005,m026,7
t005,m017,8
t006,m074,1
t006,m054,2
t006,m040,3
t006,m010,4
t006,m023,5
t006,m087,6
t007,m130,1
t007,m050,2
t007,m092,3
t007,m113,4
t007,m026,5
t007,m077,6
t007,m020,7
t007,m138,8
t007,m131,9
t007,m039,10
t007,m127,11
t007,m109,12
t007,m045,13
t007,m024,14
t007,m029,15
t007,m126,16
t007,m027,17
t007,m001,18
t007,m061,19
t007,m091,20
t007,m014,21
t007,m097,22
t007,m125,23
t007,m034,24
t007,m150,25
t007,m140,26
t007,m089,27
t007,m044,28
t007,m066,29
t007,m147,30
t007,m134,31
t007,m068,32
t007,m136,33
t007,m048,34
t007,m106,35
t007,m058,36
t007,m065,37
t007,m143,38
t007,m046,39
t007,m086,40
