wod_ref,member_ref,jour,unite,valeur,categorie
w001,m013,2026-07-27,reps,203,RX
w001,m103,2026-07-27,reps,210,RX
w001,m110,2026-07-27,reps,153,RX
w001,m074,2026-07-27,reps,156,RX
w001,m149,2026-07-27,reps,129,RX
w001,m032,2026-07-27,reps,219,RX
w001,m088,2026-07-27,reps,189,Scaled
w001,m005,2026-07-27,reps,230,RX
w001,m121,2026-07-27,reps,170,RX
w001,m073,2026-07-27,reps,184,RX
w001,m058,2026-07-27,reps,212,RX
w001,m112,2026-07-27,reps,185,RX
w001,m134,2026-07-27,reps,137,RX
w001,m137,2026-07-27,reps,158,Scaled
w001,m007,2026-07-27,reps,226,RX
w001,m101,2026-07-27,reps,169,RX
w001,m017,2026-07-27,reps,210,Scaled
w001,m109,2026-07-27,reps,149,Scaled
w001,m060,2026-07-27,reps,200,RX
w001,m078,2026-07-27,reps,196,RX
w001,m053,2026-07-27,reps,173,RX
w001,m062,2026-07-27,reps,216,RX
w001,m146,2026-07-27,reps,130,Scaled
w001,m023,2026-07-27,reps,196,RX
w001,m132,2026-07-27,reps,157,Scaled
w001,m054,2026-07-27,reps,231,RX
w001,m048,2026-07-27,reps,216,RX
w001,m097,2026-07-27,reps,181,RX
w001,m051,2026-07-27,reps,195,RX
w001,m113,2026-07-27,reps,182,RX
w001,m026,2026-07-27,reps,233,RX
w001,m107,2026-07-27,reps,170,RX
w001,m105,2026-07-27,reps,176,RX
w001,m095,2026-07-27,reps,158,Scaled
w001,m092,2026-07-27,reps,153,Scaled
w001,m077,2026-07-27,reps,169,RX
w001,m057,2026-07-27,reps,191,Scaled
w001,m056,2026-07-27,reps,179,Scaled
w001,m036,2026-07-27,reps,173,Scaled
w001,m002,2026-07-27,reps,254,RX
w001,m147,2026-07-27,reps,146,RX
w001,m111,2026-07-27,reps,127,RX
w001,m118,2026-07-27,reps,145,RX
w001,m076,2026-07-27,reps,201,RX
w001,m084,2026-07-27,reps,204,RX
w001,m144,2026-07-27,reps,167,Scaled
w001,m136,2026-07-27,reps,169,RX
w001,m080,2026-07-27,reps,144,RX
w001,m018,2026-07-27,reps,229,RX
w001,m059,2026-07-27,reps,181,RX
w001,m015,2026-07-27,reps,206,RX
w002,m013,2026-07-28,temps,13:41,RX
w002,m074,2026-07-28,temps,15:18,RX
w002,m081,2026-07-28,temps,13:51,RX
w002,m032,2026-07-28,temps,15:43,Scaled
w002,m048,2026-07-28,temps,16:07,RX
w002,m112,2026-07-28,temps,16:40,RX
w002,m043,2026-07-28,temps,14:56,RX
w002,m108,2026-07-28,temps,17:28,RX
w002,m096,2026-07-28,temps,15:34,RX
w002,m060,2026-07-28,temps,15:00,Scaled
w002,m127,2026-07-28,temps,16:19,RX
w002,m042,2026-07-28,temps,15:14,RX
w002,m100,2026-07-28,temps,16:17,RX
w002,m018,2026-07-28,temps,15:02,RX
w002,m035,2026-07-28,temps,13:52,Scaled
w002,m119,2026-07-28,temps,15:30,RX
w002,m083,2026-07-28,temps,15:34,Scaled
w002,m047,2026-07-28,temps,13:44,RX
w002,m008,2026-07-28,temps,12:11,RX
w002,m077,2026-07-28,temps,15:58,RX
w002,m097,2026-07-28,temps,14:54,RX
w002,m075,2026-07-28,temps,15:57,RX
w002,m143,2026-07-28,temps,17:48,RX
w002,m080,2026-07-28,temps,15:07,Scaled
w002,m025,2026-07-28,temps,14:04,RX
w002,m148,2026-07-28,temps,18:30,RX
w002,m101,2026-07-28,temps,17:25,RX
w002,m022,2026-07-28,temps,14:02,RX
w002,m089,2026-07-28,temps,17:27,RX
w002,m057,2026-07-28,temps,15:51,RX
w002,m055,2026-07-28,temps,14:40,RX
w002,m071,2026-07-28,temps,16:18,RX
w002,m126,2026-07-28,temps,15:24,RX
w002,m029,2026-07-28,temps,15:18,RX
w002,m116,2026-07-28,temps,16:30,RX
w002,m020,2026-07-28,temps,14:58,RX
w002,m023,2026-07-28,temps,12:56,Scaled
w002,m033,2026-07-28,temps,15:01,Scaled
w003,m013,2026-07-29,charge,65,RX
w003,m144,2026-07-29,charge,80,Scaled
w003,m003,2026-07-29,charge,145,RX
w003,m100,2026-07-29,charge,110,RX
w003,m137,2026-07-29,charge,65,RX
w003,m029,2026-07-29,charge,115,Scaled
w003,m112,2026-07-29,charge,100,RX
w003,m125,2026-07-29,charge,85,RX
w003,m126,2026-07-29,charge,85,RX
w003,m079,2026-07-29,charge,100,RX
w003,m096,2026-07-29,charge,105,Scaled
w003,m055,2026-07-29,charge,115,RX
w003,m007,2026-07-29,charge,130,RX
w003,m017,2026-07-29,charge,110,RX
w003,m076,2026-07-29,charge,110,RX
w003,m049,2026-07-29,charge,105,RX
w003,m113,2026-07-29,charge,90,RX
w003,m041,2026-07-29,charge,110,Scaled
w003,m106,2026-07-29,charge,100,RX
w003,m130,2026-07-29,charge,80,Scaled
w003,m142,2026-07-29,charge,75,RX
w003,m134,2026-07-29,charge,80,Scaled
w003,m107,2026-07-29,charge,95,RX
w003,m120,2026-07-29,charge,85,RX
w003,m104,2026-07-29,charge,80,RX
w003,m127,2026-07-29,charge,90,RX
w003,m140,2026-07-29,charge,60,RX
w003,m008,2026-07-29,charge,145,Scaled
w003,m038,2026-07-29,charge,115,RX
w003,m147,2026-07-29,charge,70,RX
w003,m069,2026-07-29,charge,100,RX
w003,m019,2026-07-29,charge,135,RX
w003,m064,2026-07-29,charge,95,Scaled
w003,m042,2026-07-29,charge,110,RX
w004,m118,2026-07-30,reps,134,Scaled
w004,m018,2026-07-30,reps,229,Scaled
w004,m138,2026-07-30,reps,153,RX
w004,m071,2026-07-30,reps,171,RX
w004,m109,2026-07-30,reps,154,RX
w004,m062,2026-07-30,reps,191,Scaled
w004,m132,2026-07-30,reps,174,Scaled
w004,m059,2026-07-30,reps,199,RX
w004,m005,2026-07-30,reps,222,RX
w004,m103,2026-07-30,reps,179,Scaled
w004,m122,2026-07-30,reps,165,RX
w004,m144,2026-07-30,reps,185,RX
w004,m020,2026-07-30,reps,197,RX
w004,m083,2026-07-30,reps,211,RX
w004,m093,2026-07-30,reps,193,RX
w004,m139,2026-07-30,reps,155,RX
w004,m034,2026-07-30,reps,214,RX
w004,m123,2026-07-30,reps,182,RX
w004,m049,2026-07-30,reps,198,RX
w004,m082,2026-07-30,reps,142,RX
w004,m133,2026-07-30,reps,130,RX
w004,m058,2026-07-30,reps,177,RX
w004,m147,2026-07-30,reps,135,Scaled
w004,m017,2026-07-30,reps,213,RX
w004,m016,2026-07-30,reps,186,RX
w004,m050,2026-07-30,reps,201,RX
w004,m009,2026-07-30,reps,216,Scaled
w004,m119,2026-07-30,reps,146,Scaled
w004,m019,2026-07-30,reps,209,RX
w004,m003,2026-07-30,reps,228,RX
w004,m008,2026-07-30,reps,250,RX
w005,m045,2026-07-31,temps,14:49,RX
w005,m114,2026-07-31,temps,16:35,RX
w005,m034,2026-07-31,temps,13:16,RX
w005,m107,2026-07-31,temps,16:00,RX
w005,m076,2026-07-31,temps,15:09,RX
w005,m036,2026-07-31,temps,13:32,RX
w005,m018,2026-07-31,temps,13:56,RX
w005,m097,2026-07-31,temps,16:16,RX
w005,m143,2026-07-31,temps,17:59,Scaled
w005,m112,2026-07-31,temps,17:49,Scaled
w005,m066,2026-07-31,temps,15:14,Scaled
w005,m102,2026-07-31,temps,16:08,RX
w005,m141,2026-07-31,temps,18:14,RX
w005,m048,2026-07-31,temps,15:14,RX
w005,m013,2026-07-31,temps,14:50,RX
w005,m081,2026-07-31,temps,15:21,RX
w005,m084,2026-07-31,temps,14:21,Scaled
w005,m035,2026-07-31,temps,14:18,RX
w005,m039,2026-07-31,temps,15:15,Scaled
w005,m001,2026-07-31,temps,11:11,RX
w005,m070,2026-07-31,temps,14:50,RX
w005,m110,2026-07-31,temps,16:48,RX
w005,m122,2026-07-31,temps,16:37,RX
w005,m138,2026-07-31,temps,16:14,Scaled
w005,m031,2026-07-31,temps,14:59,RX
w005,m046,2026-07-31,temps,12:36,RX
w005,m078,2026-07-31,temps,15:34,RX
w005,m124,2026-07-31,temps,16:33,RX
w005,m038,2026-07-31,temps,14:11,RX
w005,m006,2026-07-31,temps,13:28,RX
w005,m089,2026-07-31,temps,16:24,RX
w005,m121,2026-07-31,temps,16:42,RX
w005,m068,2026-07-31,temps,15:43,RX
w005,m021,2026-07-31,temps,15:25,RX
w005,m126,2026-07-31,temps,17:07,RX
w005,m011,2026-07-31,temps,14:43,RX
w005,m029,2026-07-31,temps,15:12,RX
w005,m087,2026-07-31,temps,15:42,RX
w005,m149,2026-07-31,temps,17:12,Scaled
w005,m067,2026-07-31,temps,16:08,Scaled
w005,m050,2026-07-31,temps,16:46,RX
w005,m094,2026-07-31,temps,16:10,RX
w005,m140,2026-07-31,temps,16:48,RX
w005,m077,2026-07-31,temps,14:52,RX
w005,m015,2026-07-31,temps,14:48,RX
w005,m133,2026-07-31,temps,16:36,RX
w005,m063,2026-07-31,temps,15:34,RX
w005,m120,2026-07-31,temps,16:12,RX
w005,m131,2026-07-31,temps,17:10,Scaled
w007,m091,2026-08-03,charge,105,Scaled
w007,m137,2026-08-03,charge,80,RX
w007,m059,2026-08-03,charge,100,Scaled
w007,m126,2026-08-03,charge,70,RX
w007,m130,2026-08-03,charge,80,Scaled
w007,m043,2026-08-03,charge,115,RX
w007,m061,2026-08-03,charge,105,RX
w007,m010,2026-08-03,charge,140,RX
w007,m009,2026-08-03,charge,125,RX
w007,m021,2026-08-03,charge,125,RX
w007,m127,2026-08-03,charge,80,RX
w007,m068,2026-08-03,charge,90,RX
w007,m100,2026-08-03,charge,90,Scaled
w007,m124,2026-08-03,charge,70,RX
w007,m120,2026-08-03,charge,90,RX
w007,m108,2026-08-03,charge,85,RX
w007,m122,2026-08-03,charge,95,RX
w007,m026,2026-08-03,charge,110,RX
w007,m078,2026-08-03,charge,100,Scaled
w007,m138,2026-08-03,charge,70,RX
w007,m095,2026-08-03,charge,85,RX
w007,m051,2026-08-03,charge,115,Scaled
w007,m060,2026-08-03,charge,110,Scaled
w007,m016,2026-08-03,charge,125,RX
w007,m027,2026-08-03,charge,105,RX
w007,m002,2026-08-03,charge,135,Scaled
w007,m112,2026-08-03,charge,90,Scaled
w007,m056,2026-08-03,charge,105,RX
w007,m142,2026-08-03,charge,70,RX
w007,m093,2026-08-03,charge,80,RX
w007,m099,2026-08-03,charge,105,RX
w007,m107,2026-08-03,charge,85,RX
w007,m053,2026-08-03,charge,100,RX
w007,m064,2026-08-03,charge,115,RX
w007,m085,2026-08-03,charge,105,RX
w007,m025,2026-08-03,charge,130,Scaled
w007,m047,2026-08-03,charge,115,Scaled
w007,m086,2026-08-03,charge,105,RX
w007,m131,2026-08-03,charge,95,RX
w007,m098,2026-08-03,charge,110,RX
w007,m048,2026-08-03,charge,105,RX
w007,m042,2026-08-03,charge,95,RX
w007,m145,2026-08-03,charge,80,Scaled
w007,m032,2026-08-03,charge,140,RX
w007,m115,2026-08-03,charge,85,RX
w007,m029,2026-08-03,charge,115,RX
w007,m062,2026-08-03,charge,100,RX
w007,m117,2026-08-03,charge,75,RX
w008,m049,2026-08-04,reps,203,RX
w008,m137,2026-08-04,reps,135,RX
w008,m081,2026-08-04,reps,193,Scaled
w008,m040,2026-08-04,reps,175,Scaled
w008,m145,2026-08-04,reps,127,RX
w008,m136,2026-08-04,reps,162,RX
w008,m015,2026-08-04,reps,173,RX
w008,m074,2026-08-04,reps,182,Scaled
w008,m012,2026-08-04,reps,250,Scaled
w008,m071,2026-08-04,reps,178,RX
w008,m148,2026-08-04,reps,147,RX
w008,m114,2026-08-04,reps,162,Scaled
w008,m099,2026-08-04,reps,146,RX
w008,m134,2026-08-04,reps,160,RX
w008,m004,2026-08-04,reps,211,RX
w008,m125,2026-08-04,reps,176,RX
w008,m066,2026-08-04,reps,176,RX
w008,m144,2026-08-04,reps,163,Scaled
w008,m008,2026-08-04,reps,203,RX
w008,m133,2026-08-04,reps,130,Scaled
w008,m050,2026-08-04,reps,190,Scaled
w008,m101,2026-08-04,reps,154,RX
w008,m100,2026-08-04,reps,164,RX
w008,m034,2026-08-04,reps,197,Scaled
w008,m047,2026-08-04,reps,175,RX
w008,m115,2026-08-04,reps,187,Scaled
w008,m080,2026-08-04,reps,187,RX
w008,m064,2026-08-04,reps,206,Scaled
w008,m131,2026-08-04,reps,159,RX
w008,m030,2026-08-04,reps,214,Scaled
w008,m105,2026-08-04,reps,160,RX
w008,m007,2026-08-04,reps,242,RX
w008,m020,2026-08-04,reps,190,RX
w008,m072,2026-08-04,reps,175,RX
w008,m044,2026-08-04,reps,215,RX
w008,m059,2026-08-04,reps,200,RX
w008,m018,2026-08-04,reps,204,RX
w008,m001,2026-08-04,reps,253,RX
w008,m112,2026-08-04,reps,187,RX
w008,m124,2026-08-04,reps,120,RX
w008,m150,2026-08-04,reps,136,RX
w008,m031,2026-08-04,reps,207,RX
w008,m079,2026-08-04,reps,204,RX
w008,m110,2026-08-04,reps,166,RX
w008,m149,2026-08-04,reps,133,RX
